WorkID,WorkTitle,Year,Country,Genre,TechRef,TechUsed,Topic,Sentiment,Situation,SituationID,Characters,CharactersID
553,"Black Mirror",2011,"United Kingdom","Narrative, TV series or episode","AI, Augmented reality, Biometrics, Body scans, Camera, Cameraphone, Drones, Emotion recognition, Facial recognition, Filtering, Image generation, Machine learning, Ocular implant, Surveillance cameras, Virtual reality, Webcams",,"Companionship, Dystopian, Inequality","Dangerous, Exciting, Intimate, Misleading, Overwhelming","Black Mirror: Striking Vipers (Karl and Danny have VR sex), Black Mirror: The Entire History of You (Seeing past selves having sex), Black Mirror: White Christmas (Blocking people IRL), Black Mirror: Shut Up and Dance (Kenny is blackmailed), Black Mirror: Rachel, Jack and Ashley too (Ashley teaches Rachel to Dance), Black Mirror: Rachel, Jack and Ashley too (Scanning Ashley`s Brain), Black Mirror: Rachel, Jack and Ashley too (Ashley is a hologram), Black Mirror: Rachel, Jack and Ashley too (Rachel getting a makeover)","475, 554, 555, 556, 481, 485, 487, 486","Karl Houghton, Danny Parker, Liam Foxwell, Ffion, Joe Potter, Beth, Kenny, Bing, Abi, Ashley too, Ashley, Rachel, Catherine, Hackers (Black Mirror)","477, 478, 559, 2941, 561, 2942, 558, 562, 563, 479, 483, 480, 484, 3160"
2689,BlinkyTM,2011,Ireland,"Narrative, Movie","AI, Camera",,"AI, Companionship, Family, Horror, Physical violence, Robots/androids","Creepy, Dangerous, Flawed, Helpful","BlinkyTM (Failing robot cooks son)",2687,"Alex Neville",2685
1044,"Deus Ex: Human Revolution",2011,Canada,Game,"Augmented reality, Body scans, Holograms, Non-Visible Spectrum, Ocular implant, Satellite images, Surveillance cameras",,"Conflict, Cyborgs, Hacking, Physical violence",Empowering,"Deus Ex: Human Revolution (Retinal display not working), Deus Ex: Human Revolution (Retinal prosthesis), Deus Ex: Human Revolution (Holographic interfaces), Deus Ex: Human Revolution (CASIE implant conversation analyses), Deus Ex: Human Revolution (Avoiding security cameras)","2852, 2853, 2856, 3244, 3245","Adam Jensen, Francis Pritchard","2854, 2855"
1562,Face-to-facebook,2011,Italy,"Art, Installation art","Facial recognition, Machine learning",,"Hacking, Social Media, Surveillance",Intrusive,"Face-to-facebook (classifying images from facebook)",1763,,
29,"Facial Weaponization Suite",2011,"United Kingdom","Art, Installation art","Facial recognition, Surveillance cameras","3D scans, Machine learning","Hacking, Identity, Inequality, Race, Surveillance","Flawed, Intrusive, Oppressive","Facial Weaponization Suite (Tricking Surveillance Cameras)",311,,
67,"Song of the Machine",2011,"United Kingdom","Narrative, Online video","Augmented reality, Filtering",,City,"Exciting, Helpful, Prosocial","Song of the Machine (Goggles using thermal mode), Song of the Machine (Goggles using AR)","425, 426","Blind Mark",946
2894,"To the Moon",2011,Canada,Game,"Augmented reality, Body scans, Virtual reality",,"Family, Grief, Romantic relationship","Empowering, Helpful","To the Moon (Artificial memory machine)",2898,"Dr. Eva Rosalene, Dr. Neil Watts, John Wyles","2896, 2895, 2897"
2790,Wool,2011,"United States","Narrative, Novel","Augmented reality, Filtering",,"Climate Change, Dystopian","Misleading, Oppressive","Wool (Watching outdoors on screens), Wool (Visor showing fake view)","2793, 2795",Holston,2789
1007,"Dr. Who: Series 7",2012,"United Kingdom","Narrative, TV series or episode","Ocular implant",,"Companionship, Consciousness, Cyborgs, Empathy, Identity, Robots/androids","Alien, Helpful, Hostile, Intrusive","Dr. Who: Series 7 (Dalek vision)",1006,"The 11th Doctor, Oswin Oswald","1127, 1130"
146,Encounters,2012,Canada,"Art, Installation art",,"Camera, Motion tracking, Non-Visible Spectrum","Animals, Nature, Surveillance","Alien, Exciting","Encounters (Animals documented in infrared)",303,,
3264,Sight,2012,"United States","Narrative, Online video","Augmented reality, Emotion recognition",,"AI, Dystopian, Gender, Social Media","Creepy, Intimate, Intrusive","Sight (Patrick manipulates Daphne), Sight (Daphne discovers the pick-up app)","3265, 3266","Patrick (Sight), Daphne W (Sight)","3263, 3262"
1788,"Surveillance Chess",2012,"Austria, United Kingdom","Art, Video art, Performance art",,"Surveillance cameras","City, Hacking, Inequality, Playful, Surveillance","Intrusive, Oppressive, Subversive","Surveillance Chess (highjacking surveillance cameras)",1789,,
96,"Sword Art Online",2012,Japan,"Narrative, TV series or episode","AI, Biometrics, Virtual reality",,"AI, Companionship, Competition, Conflict, Crime, Family, Identity, Physical violence, Romantic relationship","Dangerous, Empowering, Exciting, Hostile, Intrusive, Oppressive","Sword Art Online (Virtual reality)",518,"Kazuto Kirigaya, Asuna Yuuki","517, 520"
887,Syndicate,2012,Sweden,Game,"Augmented reality, Body scans, Non-Visible Spectrum, Ocular implant, Virtual reality",,"Conflict, Cyborgs, Free will, Hacking, Physical violence",Empowering,"Syndicate (DART-6 chip AR overlay), Syndicate (Battle simulation area)","3102, 3103","Miles Kilo",3101
216,"THE GOOGLE TRILOGY – 3.The Driver and the Cameras",2012,"Italy, United States","Art, Photograph/print/painting",,"Interactive panoramas","Automation, Labour","Flawed, Intimate","THE GOOGLE TRILOGY – 3.The Driver and the Cameras (Capturing the Driver)",318,"Google Driver",714
192,Unmanned,2012,Italy,Game,"Drones, MicroscopeOrTelescope, Non-Visible Spectrum, Satellite images",,"Family, Free will, Physical violence, Surveillance, War","Empowering, Flawed, Hostile, Intrusive","Unmanned (UAV search)",296,"UAV operator (Unmanned)",713
2339,"The Avengers",2012,"United States","Narrative, Movie","Augmented reality, Biometrics, Camera, Facial recognition, Machine learning, Surveillance cameras",,"Conflict, War",Helpful,"The Avengers (Scans fingerprint and retina for access), The Avengers (Iron Man's AR interface), The Avengers (Tricking biometric scanner), The Avengers (Facial recognition database to find Loki)","2332, 2333, 2336, 2338","Iron Man , Agent Phil Coulson, Loki, Hawkeye, S.H.I.E.L.D. agents","1944, 2331, 2334, 2335, 2337"
1818,"Mono no Aware",2012,Japan,"Narrative, Short story","Surveillance cameras",,"Family, Identity",Intimate,"Mono no Aware (Video Feed)",1943,"Hiroto Shimizu",1813
1801,Redshirts,2012,"United States","Narrative, Novel","AI, Camera, Cameraphone, Facial recognition, Holograms, Webcams",,"AI, Companionship, Free will, Identity, Playful","Empowering, Exciting, Fun, Misleading, Subversive, Wondrous","Redshirts (Hologram of alternate universe wife/husband)",1802,"Officer Jenkins, Samantha Martinez","1799, 1800"
2327,Prometheus,2012,"United Kingdom, United States","Narrative, Movie","AI, Augmented reality, Body scans, Camera, Holograms",,"AI, Identity","Alien, Exciting, Intrusive","Prometheus (Engineers use holograms to show past events), Prometheus (Scanning an Engineer head), Prometheus (Scan and remove alien inside body), Prometheus (Peter Weyland hologram), Prometheus (Stream of space suit interfaces), Prometheus (Alien ship's holographic map)","2316, 2321, 2323, 2325, 2326, 2329","The Engineers (Prometheus), Dr. Elizabeth Shaw, Space station/ship crew members, Peter Weyland, David 8","2314, 2318, 2319, 2324, 2328"
249,"Ancillary Justice",2013,,"Narrative, Novel","AI, Augmented reality, Object recognition, Satellite images, Surveillance cameras",,"AI, Companionship, Free will, Identity, War",,"Ancillary Justice (AI)",246,"One Esk Nineteen",245
1577,"Assassin's Creed IV: Black Flag",2013,,Game,"Augmented reality, Biometrics, Holograms, Surveillance cameras, Virtual reality",,"AI, Conflict, Hacking, Surveillance","Dangerous, Empowering, Intimate, Oppressive","Assassin's Creed IV: Black Flag (Hologram cannot be in a body), Assassin's Creed IV: Black Flag (The Animus), Assassin's Creed IV: Black Flag (Hacking surveillance camera)","1686, 2614, 3233","Edward Kenway, Juno, John Standish","1684, 1685, 1687"
592,"Asymmetric Love",2013,"United States, Austria","Art, Installation art","Surveillance cameras",,Surveillance,"Hostile, Intrusive","Asymmetric Love (Surveillance chandelier)",591,,
2037,"Cat or Human",2013,"South Korea","Art, Photograph/print/painting",,"Object recognition","AI, Animals",Flawed,"Cat or Human (misinterpreting cats and humans)",2553,,
208,"DELIVERY FOR MR. ASSANGE",2013,"Switzerland, United Kingdom","Art, Online art",,Webcams,"Conflict, Hacking, Social Media","Flawed, Intimate, Subversive","DELIVERY FOR MR. ASSANGE (Webcam Post)",323,"""Mr. Assange""",750
2032,"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits",2013,"United States, Italy","Art, Photograph/print/painting",,"Facial recognition","AI, Social Media",Flawed,"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits (misinterpreting objects as faces)",2535,,
1513,"Face Cages",2013,"United Kingdom","Art, Installation art","Biometrics, Facial recognition","3D scans, Biometrics, Facial recognition","AI, Identity, Inequality, Surveillance","Hostile, Oppressive","Face Cages (wearing a biometric cage)",1563,,
1459,"Grand Theft Auto V",2013,"United States",Game,"Body scans, Camera, Non-Visible Spectrum, Surveillance cameras",,"City, Crime","Empowering, Helpful","Grand Theft Auto V (Casing jewellry store for robbery), Grand Theft Auto V (Identification camera in helicopter)","2615, 3097","Michael de Santa, Franklin Clinton, Trevor Philips, Chad Mulligan","2616, 3098, 3099, 3100"
1542,"How Not to Be Seen: A Fucking Didactic Educational .MOV File",2013,Germany,"Art, Video art","Drones, Satellite images, Surveillance cameras","Satellite images",Surveillance,"Flawed, Intrusive","How Not to Be Seen: A Fucking Didactic Educational .MOV File (to hide become a pixel)",1585,,
228,Outlast,2013,Canada,Game,"Camera, Non-Visible Spectrum",,"Horror, Physical violence","Creepy, Flawed, Helpful, Protective","Outlast (Night vision camcorder)",580,"Miles Upshur, Asylum patients (Outlast)","718, 2736"
619,"Remember Me",2013,France,Game,"Augmented reality, Biometrics, Drones, Holograms, Surveillance cameras, Virtual reality",,"Dystopian, Grief, Hacking, Inequality","Intrusive, Oppressive","Remember Me (Bio-scan), Remember Me (Hacking visual memories), Remember Me (Learning from Remembrane holograms)","620, 3108, 3243",Nilin,621
42,République,2013,"United States",Game,"Biometrics, Body scans, Camera, Cameraphone, Non-Visible Spectrum, Surveillance cameras, Webcams",,"Dystopian, Inequality, Surveillance","Intimate, Oppressive, Protective","République (Navigation through security cameras), République (Finding fingerprint to unlock door), République (Hacking into houses to find contraband)","400, 3062, 3063","Hope, Mattie","399, 3064"
927,"Rick and Morty",2013,"United States","Narrative, TV series or episode","AI, Biometrics, Body scans, Cameraphone, Facial recognition, Motion tracking, Object recognition",,"Companionship, Family, Physical violence, Playful","Dangerous, Exciting, Fun, Helpful, Intrusive","Rick and Morty (Rick scans twig for clues), Rick and Morty (Scanning feces samples), Rick and Morty (Summer using dating app), Rick and Morty (Rick detecs intruder)","928, 948, 950, 952","Rick Sanchez, Morty Smith, Summer Smith, Tony ""the shy pooper""","925, 926, 949, 951"
218,"Satellite Images",2013,,"Narrative, Creepypasta","Camera, Satellite images, Interactive panoramas",,"Horror, Surveillance","Dangerous, Fun","Satellite Images (Followed on Google Maps)",548,"Narrator (Satellite Images), Google Maps Girl (Satellite Images)","917, 918"
473,"Security Cameras",2013,"United States","Narrative, Music video","Surveillance cameras",,"Crime, Surveillance","Empowering, Helpful, Protective","Security Cameras (Surveillance cameras)",472,"""Casino"", Gangsters (Security Cameras)","773, 2838"
19,"The Webcam Project",2013,,"Narrative, Creepypasta",Webcams,,"Horror, Physical violence, Romantic relationship, Surveillance","Dangerous, Hostile","The Webcam Project (Webcams)",537,"David (The Webcam Project), Unnamed woman (The Webcam Project), Unnamed intern (The Webcam Project)","1148, 1149, 1150"
1516,"URME Personal Surveillance Identity Prosthetic",2013,"United States",Art,"Facial recognition, Surveillance cameras","3D scans","AI, Hacking, Surveillance","Creepy, Intrusive","URME Personal Surveillance Identity Prosthetic (hiding from facial recognition)",1564,"Leo (URME)",2933
121,Us+,2013,"United States",Art,"Emotion recognition, Webcams","Emotion recognition, Webcams","Companionship, Empathy, Family, Romantic relationship","Helpful, Intrusive","Us+ (Emotion recognition)",251,"Us+ Daughter, US+ Office worker","685, 686"
2684,ZARI,2013,"United States","Narrative, Movie",AI,,"Animals, Companionship, Robots/androids","Flawed, Helpful, Wondrous","ZARI (Robot and Dog becomes friends)",2682,Shelly,2681
2215,Oblivion,2013,"United States","Narrative, Movie","Body scans, Facial recognition, Satellite images, Surveillance cameras",,"Dystopian, Robots/androids","Dangerous, Helpful, Hostile, Protective","Oblivion (Perspective of a drone), Oblivion (Drone performs a body scan looking for people), Oblivion (A look through a futuristic binocular), Oblivion (Surveillance camera used to overlook a dangerous area), Oblivion (Using the spaceship camera to surveil a fight)","2259, 2258, 2257, 2255, 2260","Jack Harper, Victoria “Vika” Olsen, Scavengers","2253, 2254, 2256"
1819,"Star Trek: Into Darkness",2013,"United States","Narrative, Movie","3D scans, Augmented reality, Body scans, Facial recognition, Motion tracking, Non-Visible Spectrum, Object recognition, Surveillance cameras, Webcams",,"Conflict, Empathy, Grief","Flawed, Helpful, Neutral","Star Trek: Into Darkness (Spock's body is monitored while in volcano), Star Trek: Into Darkness (Facial recognition as character enters Section 31 building), Star Trek: Into Darkness (Kirk watching 3D imaged scene of explosion), Star Trek: Into Darkness (Assessing a tight passage on Kronos), Star Trek: Into Darkness (Navigation in space using AR), Star Trek: Into Darkness (Khan attempting to escape), Star Trek: Into Darkness (Flying towards enemy spaceship)","1863, 1864, 1865, 1866, 1867, 1869, 1868","Captain James Kirk, Khan Noonien Singh, Spock, Starfleet officer Thomas Harewood","1860, 1862, 1861, 2111"
1498,"REALFACE Glamoflage",2013,Netherlands,Art,"Facial recognition",,"AI, Hacking, Social Media","Flawed, Intrusive","REALFACE Glamoflage (tricking facial recognition)",1548,,
2307,Gravity,2013,"United Kingdom, United States","Narrative, Movie",MicroscopeOrTelescope,,Conflict,Intimate,"Gravity (telescope showing Earth's surface)",2309,"Dr. Ryan Stone",2308
75,"CMYK Deep Face Dude",2014,Canada,"Art, Photograph/print/painting","Facial recognition",,"Identity, Surveillance","Flawed, Misleading","CMYK Deep Face Dude (Flawed Facial Recognition)",429,"Deep Face Dude",2754
1856,"Desiluciones ópticas",2014,Argentina,"Art, Installation art",,"Camera, Motion tracking","Conflict, Physical violence","Empowering, Subversive","Desiluciones ópticas (remembering the oppressed)",2041,,
159,"Drone Selfies",2014,"Italy, Germany, United Kingdom",Art,Drones,,"Autonomous vehicles, Consciousness, Identity, Utopian",Intimate,"Drone Selfies (Drones)",336,,
157,"Drones Don't Kill People",2014,"United States","Narrative, Short story","AI, Biometrics, Drones, Filtering, Object recognition",,"Empathy, Physical violence, Surveillance, War",Neutral,"Drones Don't Kill People (Drone surveillance), Drones Don't Kill People (Drone assasination)","923, 924","Professor, Professor's Wife, Professor's Son, Professor's Daughter","919, 920, 921, 922"
224,"Facial Features Not Recognized",2014,,"Narrative, Creepypasta","Facial recognition",,"Crime, Horror, Physical violence",Protective,"Facial Features Not Recognized (Facial recognition)",550,"Narrator (Facial Features Not Recognized)",3230
137,"Five Nights at Freddy's",2014,"United States",Game,"Non-Visible Spectrum, Surveillance cameras",,"Horror, Robots/androids, Surveillance","Creepy, Dangerous, Flawed","Five Nights at Freddy's (Surveilling animatrons at night)",582,Animatrons,2735
1582,Glow,2014,"United States, Netherlands, India, Austria",Art,,"Facial recognition, Filtering, Image generation, Machine learning","AI, Identity, Playful","Flawed, Fun","Glow (manipulating and generating new faces)",1593,,
700,"I'm Just Gettin' Blowed",2014,"United States","Narrative, Music video",,Drones,"Nature, Playful",Fun,"I'm Just Gettin' Blowed (Devin filming himself)",699,"""Devin the Dude""",800
1712,Lagoon,2014,"Nigeria, United States","Narrative, Novel",Cameraphone,,"Animals, City, Economy, Nature",Empowering,"Lagoon (President is broadcast to all screens)",1714,"Woman in the street (Lagoon)",1713
167,"Lessons on Leaving Your Body",2014,"Israel, United States",Art,Drones,Drones,"Free will, Nature","Alien, Dangerous, Exciting, Flawed, Intimate","Lessons on Leaving Your Body (Drones)",320,"""Jake Wells""",319
61,"Nail Art Museum",2014,Canada,"Art, Video art, Online art",,"Augmented reality, Object recognition, Webcams","Identity, Playful, Social Media","Exciting, Fun, Helpful","Nail Art Museum (Generating Nail Art)",385,"""Jeremy Bailey""",384
55,"Nothing to Hide",2014,Canada,Game,"Surveillance cameras",,"Dystopian, Surveillance","Dangerous, Intrusive, Oppressive","Nothing to Hide (Always surveilled)",581,"Poppy Gardner",706
3051,SelfieCity,2014,"Brazil, United States",Art,,"Cameraphone, Emotion recognition, Facial recognition","Social Media","Exciting, Helpful, Intimate","SelfieCity (The Selfiexploratory), SelfieCity (SelfieSaoPaulo)","3052, 3057","Mechanical Turk Workers (selfiecity), Sao Paulo citizens","3053, 3056"
125,Selfies,2014,"United Kingdom","Narrative, Short story",Cameraphone,,"Horror, Identity",Hostile,"Selfies (Cameraphone)",542,"Ellie (Selfies)",541
133,"Someone to Watch Over Me",2014,"United States","Narrative, Short story","Holograms, Ocular implant",,"Conflict, Family, Romantic relationship, Surveillance","Intimate, Intrusive","Someone to Watch Over Me (Optical/ocular implant)",546,"Amanda (Someone to Watch Over Me), Becky (Someone to Watch Over Me), Jake (Someone to Watch Over Me)","545, 3154, 3155"
1702,"Spaces of Failure",2014,"Brazil, United Kingdom","Art, Photograph/print/painting",,Cameraphone,"Automation, Hacking",Flawed,"Spaces of Failure (Purposely failing to make a panorama image)",1974,,
1454,"The Castle Doctrine",2014,"United States",Game,"Surveillance cameras",,"Competition, Surveillance","Exciting, Protective","The Castle Doctrine (Security footage)",1464,"Player character (The Castle Doctrine), Burglars (The Castle Doctrine)","1465, 1466"
2693,"The Nostalgist",2014,"Italy, United Kingdom","Narrative, Movie","AI, Biometrics, Facial recognition, Virtual reality",,"Companionship, Conflict, Dystopian, Family, Identity, Robots/androids","Flawed, Helpful, Protective","The Nostalgist (Boy Learns Whats Real)",2694,"The Man, The Boy","2691, 2692"
2803,"The Peripheral",2014,"United States","Narrative, Novel","Ocular implant, Virtual reality",,"Climate Change, Dystopian, Economy","Empowering, Exciting, Helpful","The Peripheral (Viz)",2802,"Edward (The Peripheral)",2801
235,"The Sims 4",2014,"United States",Game,"Biometrics, Camera, Cameraphone, Filtering, Webcams",,"Identity, Playful","Exciting, Fun, Helpful","The Sims 4 (Connecting via cameras)",312,"Sim (The Sims 4)",3232
2835,"The Talos Principle",2014,Croatia,Game,"AI, Holograms, Machine learning, Object recognition, Virtual reality","Cameraphone, Object recognition","AI, Free will, Robots/androids",Empowering,"The Talos Principle (Hologram clone), The Talos Principle (QR code graffiti messages)","2836, 2837","Unnamed android (The Talos Principle)",2839
108,"Young Ones",2014,"United States","Narrative, Movie","Object recognition, Surveillance cameras",,"Autonomous vehicles, Climate Change, Companionship, Conflict, Crime, Family, Grief, Romantic relationship","Helpful, Neutral","Young Ones (Robot recording murder)",263,"Ernest Holm, Flem Lever, Mary Holm, Jerome Holm","259, 260, 261, 262"
1846,"Big Hero 6",2014,"United States","Narrative, Movie","AI, Body scans, Cameraphone, Holograms, Non-Visible Spectrum, Surveillance cameras",,"AI, Companionship, Empathy, Family, Robots/androids","Empowering, Exciting, Fun, Protective","Big Hero 6 (AI robot scanning someone to check their vitals), Big Hero 6 (Documenting the villain), Big Hero 6 (Hiro using hologram to design things), Big Hero 6 (Baymax scans a whole city)","2005, 2007, 2008, 2009","Baymax, Hiro Hamada, Honey Lemon","1844, 1845, 2006"
1850,"Edge of Tomorrow",2014,"United States","Narrative, Movie","Holograms, Motion tracking, Object recognition, Satellite images",,"Conflict, Consciousness, Physical violence, War","Dangerous, Protective","Edge of Tomorrow (Holograms of aliens), Edge of Tomorrow (Helmet camera tracks and recognises aliens)","2002, 2004","Master Sergeant Farrell , Dr. Carter","1914, 1915"
2062,"X-Men: Days of Future Past",2014,"United States","Narrative, Movie","Augmented reality, Biometrics, Body scans, Camera, Holograms, Surveillance cameras",,"Identity, Inequality, War","Empowering, Hostile","X-Men: Days of Future Past (Crowd records with analogue cameras), X-Men: Days of Future Past (Mystique shapeshifts to use finger scan), X-Men: Days of Future Past (Sentinels identify mutants), X-Men: Days of Future Past (Professor X uses the cerebro)","2184, 2185, 2186, 2188","Mystique, Sentinels (X-Men: Days of Future Past), Professor X, X-Men","2181, 2183, 2187, 2818"
1814,"Guardians of the Galaxy, vol. 1 & vol. 2",2014,"United States","Narrative, Movie","Augmented reality, Biometrics, Camera, Drones, Facial recognition, Holograms, MicroscopeOrTelescope",,"Companionship, Consciousness, Empathy, Identity, Race","Empowering, Helpful","Guardians of the Galaxy vol. 2 (Drone attack), Guardians of the Galaxy vol. 2 (Digital rifle scope), Guardians of the Galaxy vol. 1 (Holographic structures of the past), Guardians of the Galaxy vol. 1 (Identifying targets with bounties)","1822, 1886, 1888, 1890","Star-Lord/Peter Quill, High Priestess Ayesha, Sovereign pilots (Guardians of the Galaxy), Inter-dimensional monster, Gamora, Rocket","1831, 1833, 1834, 1887, 1885, 1889"
1450,"Security Check",2014,China,"Narrative, Short story","3D scans, Non-Visible Spectrum, Object recognition",,"Crime, Dystopian, Surveillance","Creepy, Intrusive, Oppressive","Security Check (Louis learns about X-ray machines)",1452,Louis,1451
907,"A Hipster Bar",2015,"United Kingdom, Netherlands","Art, Installation art",,"Facial recognition, Machine learning","AI, Automation, Identity","Exciting, Fun, Subversive","A Hipster Bar (hipster recognition)",1157,,
2696,Ana,2015,"United Kingdom","Narrative, Movie","AI, Augmented reality, Biometrics, Camera, Drones, Facial recognition, UGV",,"AI, Automation, Free will, Labour, Robots/androids","Dangerous, Flawed, Hostile, Misleading, Subversive","ANA (Robot decieves human)",2697,"Jim Compagnoni",2698
912,as.phyx.i.a,2015,"Japan, United States",Art,"Motion tracking","Motion tracking","Free will, Identity","Oppressive, Wondrous","as.phyx.i.a (dancing)",914,"Dancer (as.phyx.i.a)",913
1458,"Batman: Arkham Knight",2015,,Game,"3D scans, Augmented reality, Biometrics, Body scans, Facial recognition, MicroscopeOrTelescope, Non-Visible Spectrum, Object recognition, Surveillance cameras, UGV",,"City, Conflict, Crime, Identity, Physical violence, Surveillance, War",Empowering,"Batman: Arkham Knight (Reconstruct biometric access), Batman: Arkham Knight (Investigate mutilated body), Batman: Arkham Knight (Scan drone to locate weak points)","1482, 2766, 2769","Batman, Simon Stagg, Anthony Lund, Alfred","1478, 2765, 2768, 2767"
1037,Clandestine,2015,Denmark,Game,"Camera, Surveillance cameras",,"Conflict, Crime, Hacking, Surveillance",Protective,"Clandestine (Hacker POV)",2892,"Katya Kozlova, Martin Symborski","2890, 2891"
1568,"Data-Masks (Series)",2015,"United States","Art, Installation art",,"Facial recognition, Image generation, Machine learning","Hacking, Identity, Surveillance",Intrusive,"Data-Masks (Series) (reverse engineering facial recognition)",1660,,
1027,"Deep Dark Fears",2015,"United States","Narrative, Comic",Camera,,"Horror, Physical violence","Creepy, Hostile, Intrusive","Deep Dark Fears (Reflection recording Fran)",1028,"""Fran Krause""",1026
1218,DullDream,2015,Netherlands,"Art, Installation art, Online art",,"Machine learning, Object recognition","AI, Hacking","Alien, Flawed","DullDream (applying the dull effect)",1217,,
353,EYE,2015,Japan,"Narrative, Music video",,"Interactive panoramas","City, Nature, Surveillance","Flawed, Fun","Eye (Streetview)",352,"""group_inou""",799
423,Grief,2015,"United States","Narrative, Music video",,"Non-Visible Spectrum","Conflict, Grief",Alien,"Grief (Rapper filmed in infrared)",422,"""Earl Sweatshirt""",421
80,"Hardcore Henry",2015,Russia,"Narrative, Movie","Drones, Facial recognition, Filtering, Object recognition, Surveillance cameras",,"Crime, Physical violence, Robots/androids, Romantic relationship","Dangerous, Flawed, Helpful","Hardcore Henry (Henry kills Akan)",984,"Hardcore Henry, Akan","947, 983"
2849,"Heroes of the Storm",2015,"United States",Game,Holograms,,Competition,"Empowering, Misleading, Protective","Heroes of the Storm (Hologram mimics and fights)",2850,"Nova Terra",2848
908,"How to be More or Less Human",2015,"United Kingdom","Art, Performance art",,"Facial recognition, Machine learning, Object recognition, Webcams","AI, Gender",Flawed,"How to be More or Less Human (Undressing)",1156,"""Max Dovey""",2762
184,Jller,2015,"Germany, Czechia","Art, Installation art",,"Machine learning, Object recognition","Automation, Nature",Exciting,"Jller (Identifying and organizing)",530,,
1576,"Level of Confidence",2015,Mexico,Art,,"Facial recognition","AI, Conflict, Surveillance","Flawed, Helpful, Subversive","Level of Confidence (matching faces)",1651,,
327,"Red Queen",2015,"United States","Narrative, Novel","Surveillance cameras",,"Conflict, Crime, Family, Inequality, Physical violence, Race, Romantic relationship","Dangerous, Helpful, Intrusive, Misleading, Oppressive","Red Queen (Electric eyes)",326,"Mare Barrow",325
1854,"RGB Stratospheric Camarena",2015,"Colombia, Austria","Art, Video art","Satellite images","Camera, Filtering, Image generation",,"Empowering, Wondrous","RGB Stratospheric Camarena (media archeological machine vision experiment)",2030,,
2613,"Satellite Reign",2015,Australia,Game,"Drones, Facial recognition, Holograms, Satellite images, Surveillance cameras",,"City, Dystopian, Hacking",Oppressive,"Satellite Reign (Aerial drone vision), Satellite Reign (Holographic flora), Satellite Reign (Avoiding security system eyes), Satellite Reign (World scan with facial recognition)","2875, 2876, 2877, 2973","Agents (Satellite Reign)",2878
2944,"Shutter (game)",2015,Canada,Game,"Non-Visible Spectrum, UGV",,Horror,"Creepy, Flawed","Shutter (game)(Drone's enhanced vision)",2979,,
980,Technobabylon,2015,"United Kingdom",Game,"AI, Augmented reality, Biometrics, Drones, Machine learning, Surveillance cameras, UGV, Virtual reality",,"AI, Automation, City, Crime, Family, Identity","Exciting, Intimate, Prosocial, Subversive","Technobabylon (Trance VR), Technobabylon (Drone camera vision), Technobabylon (Correct temperature for biometric lock)","1002, 1003, 1694","Charles Regis, Latha Sesame, Max Lao","997, 998, 1004"
2701,Temple,2015,Canada,"Narrative, Movie","Augmented reality, Biometrics, Ocular implant",,"City, Climate Change, Conflict, Dystopian, Physical violence, Romantic relationship","Helpful, Neutral","Temple (Man Steals Arm)",2702,Oz,2699
3202,"The Other Nefertiti",2015,"Germany, Iraq",Art,,"3D scans",Hacking,Subversive,"The Other Nefertiti (nefertiti hack)",3203,,
1608,"Tom Clancy's Rainbow Six Siege",2015,,Game,"Biometrics, Body scans, Holograms, Non-Visible Spectrum, Surveillance cameras, UGV",,"Conflict, Physical violence, Surveillance, War",Empowering,"Tom Clancy's Rainbow Six Siege (Intel gathering drones and cameras), Tom Clancy's Rainbow Six Siege (Holographic decoys), Tom Clancy's Rainbow Six Siege (Thermal vision), Tom Clancy's Rainbow Six Siege (Footprint scanner and identification), Tom Clancy's Rainbow Six Siege (Near-invisible from cameras), Tom Clancy's Rainbow Six Siege (Killing using cardiac sensor)","1692, 1693, 3054, 3058, 3069, 3072","Timur ""Glaz"" Glazkov, Ryad Ramírez ""Jackal"" Al-Hassar, Nienke ""Iana"" Meijer, Aria ""Alibi"" de Luca, Chul Kyung ""Vigil"" Hwa, Jack ""Pulse"" Estrada, Nøkk","3055, 3059, 3060, 3061, 3071, 3073, 3070"
1830,"Jupiter Ascending",2015,"United States","Narrative, Movie","Augmented reality, Facial recognition, Holograms, Object recognition, Ocular implant",Camera,"Conflict, Economy, Family, Free will, Inequality, Physical violence, Romantic relationship","Alien, Creepy, Empowering, Exciting, Flawed, Fun, Oppressive","Jupiter Ascending (Ocular Scan), Jupiter Ascending (Hologram)","2199, 2203","Ibis, Jupiter Jones, Caine Wise, Balem Abrasax","1828, 1829, 1832, 2200"
1438,"Goodnight, Melancholy",2015,China,"Narrative, Short story","AI, Emotion recognition, Machine learning, Virtual reality",,"AI, Automation, Companionship, Consciousness, Empathy, Robots/androids","Helpful, Intimate","Goodnight, Melancholy (Nocko meets Lindy)",1445,"Anonymous woman, Nocko, Lindy","794, 1436, 1437"
